14:53:56,606 | INFO  | l Console Thread | ultOsgiApplicationContextCreator | 210 - org.springframework.osgi.extender - 1.2.1 | Discovered configurations {osgibundle:/META-INF/spring/*.xml} in bundle [Fuse Kafka Producer Example (FuseCamelKafkaProducerSpringDSL)]
14:53:56,607 | INFO  | xtenderThread-17 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Refreshing OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaProducerSpringDSL, config=osgibundle:/META-INF/spring/*.xml): startup date [Fri Aug 18 14:53:56 IST 2017]; root of context hierarchy
14:53:56,607 | INFO  | xtenderThread-17 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Application Context service already unpublished
14:53:56,609 | INFO  | xtenderThread-17 | XmlBeanDefinitionReader          | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Loading XML bean definitions from URL [bundle://570.0:0/META-INF/spring/camel-context.xml]
14:53:56,640 | INFO  | xtenderThread-17 | DefaultListableBeanFactory       | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Overriding bean definition for bean '_toBean1': replacing [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
14:53:56,640 | INFO  | xtenderThread-17 | DefaultListableBeanFactory       | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Overriding bean definition for bean '_to1': replacing [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
14:53:56,641 | INFO  | xtenderThread-17 | WaiterApplicationContextExecutor | 210 - org.springframework.osgi.extender - 1.2.1 | No outstanding OSGi service dependencies, completing initialization for OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaProducerSpringDSL, config=osgibundle:/META-INF/spring/*.xml)
14:53:56,643 | INFO  | xtenderThread-18 | DefaultListableBeanFactory       | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@91a065c: defining beans [producerExchangeHeaders,_toBean1,_to1,kafka-example-context:beanPostProcessor,kafka-example-context]; root of factory hierarchy
14:53:56,652 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Apache Camel 2.17.0.redhat-630187 (CamelContext: kafka-example-context) is starting
14:53:56,652 | INFO  | xtenderThread-18 | ManagedManagementStrategy        | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | JMX is enabled
14:53:56,687 | INFO  | xtenderThread-18 | DefaultRuntimeEndpointRegistry   | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
